date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-02,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-03,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-04,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-05,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-06,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-07,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-08,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-09,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-10,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-11,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-12,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-13,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-14,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-15,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-16,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-17,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-18,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-19,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-20,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-21,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-22,YARLOOP,ulp_91,84.9,87.2,90.9,84.9,3
2002-01-23,YARLOOP,ulp_91,84.9,86.6,89.9,84.9,3
2002-01-24,YARLOOP,ulp_91,84.9,86.6,89.9,84.9,3
2002-01-25,YARLOOP,ulp_91,79.8,84.9,89.9,79.8,3
2002-01-26,YARLOOP,ulp_91,79.8,81.9,85.9,79.8,3
2002-01-27,YARLOOP,ulp_91,79.8,81.9,85.9,79.8,3
2002-01-28,YARLOOP,ulp_91,79.8,81.9,85.9,79.8,3
2002-01-29,YARLOOP,ulp_91,79.8,81.9,85.9,79.8,3
2002-01-30,YARLOOP,ulp_91,83.4,84.4,85.9,83.4,3
2002-01-31,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-01,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-02,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-03,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-04,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-05,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-06,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-07,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-08,YARLOOP,ulp_91,82.9,84.7,87.9,82.9,3
2002-02-09,YARLOOP,ulp_91,82.9,85.4,87.9,82.9,3
2002-02-10,YARLOOP,ulp_91,82.9,85.4,87.9,82.9,3
2002-02-11,YARLOOP,ulp_91,84.9,86.7,89.9,84.9,3
2002-02-12,YARLOOP,ulp_91,84.9,86.7,89.9,84.9,3
2002-02-13,YARLOOP,ulp_91,84.9,86.7,89.9,84.9,3
2002-02-14,YARLOOP,ulp_91,84.9,86.7,89.9,84.9,3
2002-02-15,YARLOOP,ulp_91,84.9,88.2,89.9,84.9,3
2002-02-16,YARLOOP,ulp_91,84.9,88.2,89.9,84.9,3
2002-02-17,YARLOOP,ulp_91,84.9,88.2,89.9,84.9,3
2002-02-18,YARLOOP,ulp_91,87.9,90.2,92.9,87.9,3
2002-02-19,YARLOOP,ulp_91,87.9,90.2,92.9,87.9,3
2002-02-20,YARLOOP,ulp_91,87.9,90.2,92.9,87.9,3
2002-02-21,YARLOOP,ulp_91,87.9,90.2,92.9,87.9,3
2002-02-22,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2002-02-23,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2002-02-24,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2002-02-25,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2002-02-26,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2002-02-27,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2002-02-28,YARLOOP,ulp_91,88.9,91.6,95.9,88.9,3
2003-01-01,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-02,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-03,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-04,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-05,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-06,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-07,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-08,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-09,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-10,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-11,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-12,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-13,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-14,YARLOOP,ulp_91,97.9,99.9,101.9,97.9,3
2003-01-15,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-16,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-17,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-18,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-19,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-20,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-21,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-22,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-23,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-24,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-25,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-26,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-27,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-28,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-29,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-30,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-01-31,YARLOOP,ulp_91,98.9,100.9,103.9,98.9,3
2003-02-01,YARLOOP,ulp_91,99.9,101.2,103.9,99.9,3
2003-02-02,YARLOOP,ulp_91,99.9,101.2,103.9,99.9,3
2003-02-03,YARLOOP,ulp_91,99.9,101.2,103.9,99.9,3
2003-02-04,YARLOOP,ulp_91,99.9,101.2,103.9,99.9,3
2003-02-05,YARLOOP,ulp_91,99.9,103.1,105.5,99.9,3
2003-02-06,YARLOOP,ulp_91,99.9,103.1,105.5,99.9,3
2003-02-07,YARLOOP,ulp_91,99.9,103.1,105.5,99.9,3
2003-02-08,YARLOOP,ulp_91,102.9,104.4,105.5,102.9,3
2003-02-09,YARLOOP,ulp_91,102.9,104.4,105.5,102.9,3
2003-02-10,YARLOOP,ulp_91,102.9,104.4,105.5,102.9,3
2003-02-11,YARLOOP,ulp_91,102.9,104.4,105.5,102.9,3
2003-02-12,YARLOOP,ulp_91,102.9,104.4,105.5,102.9,3
2003-02-13,YARLOOP,ulp_91,102.9,105.6,108.9,102.9,3
2003-02-14,YARLOOP,ulp_91,102.9,105.6,108.9,102.9,3
2003-02-15,YARLOOP,ulp_91,102.9,105.6,108.9,102.9,3
2003-02-16,YARLOOP,ulp_91,102.9,105.6,108.9,102.9,3
2003-02-17,YARLOOP,ulp_91,102.9,105.6,108.9,102.9,3
2003-02-18,YARLOOP,ulp_91,102.9,105.6,108.9,102.9,3
2003-02-19,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-20,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-21,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-22,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-23,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-24,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-25,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-26,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-27,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2003-02-28,YARLOOP,ulp_91,106.9,108.2,108.9,106.9,3
2004-01-01,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-02,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-03,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-04,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-05,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-06,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-07,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-08,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-09,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-10,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-11,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-12,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-13,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-14,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-15,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-16,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-17,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-18,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-19,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-20,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-21,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-22,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-23,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-24,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
2004-01-25,YARLOOP,ulp_91,99.9,100.6,101.9,99.9,3
