date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,YOKINE,ulp_91,82.7,84.0,85.7,82.7,4
2002-01-02,YOKINE,ulp_91,82.7,84.0,85.7,82.7,4
2002-01-03,YOKINE,ulp_91,81.1,83.2,85.1,81.1,4
2002-01-04,YOKINE,ulp_91,79.9,82.7,85.1,79.9,4
2002-01-05,YOKINE,ulp_91,79.9,82.3,84.4,79.9,4
2002-01-06,YOKINE,ulp_91,79.9,82.3,84.4,79.9,4
2002-01-07,YOKINE,ulp_91,79.9,82.3,84.4,79.9,4
2002-01-08,YOKINE,ulp_91,78.5,81.1,83.4,78.5,4
2002-01-09,YOKINE,ulp_91,78.5,80.6,82.4,78.5,4
2002-01-10,YOKINE,ulp_91,80.0,84.0,88.3,80.0,4
2002-01-11,YOKINE,ulp_91,83.0,85.2,87.8,83.0,4
2002-01-12,YOKINE,ulp_91,83.0,85.0,87.2,83.0,4
2002-01-13,YOKINE,ulp_91,83.0,85.0,87.2,83.0,4
2002-01-14,YOKINE,ulp_91,81.3,83.5,85.4,81.3,4
2002-01-15,YOKINE,ulp_91,81.3,83.0,84.4,81.3,4
2002-01-16,YOKINE,ulp_91,79.9,82.3,84.4,79.9,4
2002-01-17,YOKINE,ulp_91,79.9,81.8,83.4,79.9,4
2002-01-18,YOKINE,ulp_91,81.0,83.5,86.2,81.0,4
2002-01-19,YOKINE,ulp_91,81.0,83.2,85.7,81.0,4
2002-01-20,YOKINE,ulp_91,81.0,83.2,85.7,81.0,4
2002-01-21,YOKINE,ulp_91,81.0,83.2,85.7,81.0,4
2002-01-22,YOKINE,ulp_91,79.2,81.5,83.4,79.2,4
2002-01-23,YOKINE,ulp_91,78.2,80.5,82.4,78.2,4
2002-01-24,YOKINE,ulp_91,77.6,80.2,82.4,77.6,4
2002-01-25,YOKINE,ulp_91,77.6,79.7,81.4,77.6,4
2002-01-26,YOKINE,ulp_91,79.0,82.3,85.9,79.0,4
2002-01-27,YOKINE,ulp_91,79.0,82.3,85.9,79.0,4
2002-01-28,YOKINE,ulp_91,79.0,82.3,85.9,79.0,4
2002-01-29,YOKINE,ulp_91,79.0,80.5,82.2,79.0,4
2002-01-30,YOKINE,ulp_91,78.4,80.1,81.4,78.4,4
2002-01-31,YOKINE,ulp_91,77.6,80.2,82.4,77.6,4
2002-02-01,YOKINE,ulp_91,77.6,80.2,82.4,77.6,4
2002-02-02,YOKINE,ulp_91,77.6,80.2,82.4,77.6,4
2002-02-03,YOKINE,ulp_91,77.6,80.2,82.4,77.6,4
2002-02-04,YOKINE,ulp_91,80.0,81.6,83.5,80.0,4
2002-02-05,YOKINE,ulp_91,79.9,81.3,82.9,79.9,4
2002-02-06,YOKINE,ulp_91,78.7,80.7,82.4,78.7,4
2002-02-07,YOKINE,ulp_91,78.7,80.7,82.4,78.7,4
2002-02-08,YOKINE,ulp_91,78.7,80.7,82.4,78.7,4
2002-02-09,YOKINE,ulp_91,78.7,81.2,83.4,78.7,4
2002-02-10,YOKINE,ulp_91,78.7,81.2,83.4,78.7,4
2002-02-11,YOKINE,ulp_91,78.7,81.2,83.4,78.7,4
2002-02-12,YOKINE,ulp_91,82.0,84.7,87.7,82.0,4
2002-02-13,YOKINE,ulp_91,82.0,84.7,87.7,82.0,4
2002-02-14,YOKINE,ulp_91,83.0,84.7,86.7,83.0,4
2002-02-15,YOKINE,ulp_91,83.2,84.7,86.2,83.2,4
2002-02-16,YOKINE,ulp_91,82.9,84.6,85.9,82.9,4
2002-02-17,YOKINE,ulp_91,82.9,84.6,85.9,82.9,4
2002-02-18,YOKINE,ulp_91,82.9,84.6,85.9,82.9,4
2002-02-19,YOKINE,ulp_91,81.5,83.8,85.9,81.5,4
2002-02-20,YOKINE,ulp_91,81.5,84.5,87.3,81.5,4
2002-02-21,YOKINE,ulp_91,84.9,87.2,89.8,84.9,4
2002-02-22,YOKINE,ulp_91,84.9,87.2,89.8,84.9,4
2002-02-23,YOKINE,ulp_91,84.5,86.0,87.5,84.5,4
2002-02-24,YOKINE,ulp_91,83.9,85.5,87.5,83.9,4
2002-02-25,YOKINE,ulp_91,83.5,85.0,86.5,83.5,4
2002-02-26,YOKINE,ulp_91,83.5,85.0,86.5,83.5,4
2002-02-27,YOKINE,ulp_91,83.5,85.0,86.5,83.5,4
2002-02-28,YOKINE,ulp_91,80.7,83.7,86.3,80.7,4
2003-01-01,YOKINE,ulp_91,93.9,96.2,98.3,93.9,4
2003-01-02,YOKINE,ulp_91,93.9,96.2,98.3,93.9,4
2003-01-03,YOKINE,ulp_91,92.5,95.0,98.3,92.5,4
2003-01-04,YOKINE,ulp_91,91.9,94.8,98.3,91.9,4
2003-01-05,YOKINE,ulp_91,91.9,94.8,98.3,91.9,4
2003-01-06,YOKINE,ulp_91,91.9,94.8,98.3,91.9,4
2003-01-07,YOKINE,ulp_91,91.9,94.8,98.3,91.9,4
2003-01-08,YOKINE,ulp_91,91.9,94.8,98.3,91.9,4
2003-01-09,YOKINE,ulp_91,91.9,94.8,98.3,91.9,4
2003-01-10,YOKINE,ulp_91,93.9,96.0,98.3,93.9,4
